OBJECTID *,Shape *,ID,Region,County,Type,School.Name,City,Grade.Range,Total.Students,Percent.Immunized,county_norm,school_key,full_address,latitude,longitude,_merge
1,Point,1,Upstate,Abbeville,Private,Lighthouse Christian School,Abbeville,'K5-12,65,0.462,abbeville,lighthouse christian school,"2918 SC-72, Abbeville, SC 29620",34.187818,-82.243849,left_only
2,Point,2,Upstate,Abbeville,Private,Shiloh Christian School,Due West,'K5-12th,75,0.307,abbeville,shiloh christian school,"2604 HWY 184 W, DUE WEST, SC 29639",34.299716,-82.450329,both
3,Point,3,Upstate,Abbeville,Public,John C. Calhoun Elementary,Calhoun Falls,'4K-5th grade,99,0.949,abbeville,john c. calhoun elementary,"750 North Calhoun Shores Parkway, Calhoun Falls, SC 29628",34.103701,-82.597752,both
4,Point,4,Upstate,Abbeville,Public,Calhoun Falls Charter,calhoun falls,'6-12,145,0.993,abbeville,calhoun falls charter,"205 Edgefield St, Calhoun Falls, SC 29628",34.099411,-82.596185,left_only
5,Point,5,Upstate,Abbeville,Public,Diamond Hill Elementary,Abbeville,'PK-6th,227,0.934,abbeville,diamond hill elementary,"104 Lake Secession Road, Abbeville, SC 29620",34.255882,-82.564823,both
6,Point,6,Upstate,Abbeville,Public,Westwood Elementary,Abbeville,'3rd-5th,271,0.926,abbeville,westwood elementary,"124 Highway 28 Bypass, Abbeville, SC 29620",34.158269,-82.398414,both
7,Point,7,Upstate,Abbeville,Public,Wright Middle,Abbeville,'6-8,305,0.97,abbeville,wright middle,"111 Highway 71, Abbeville, SC 29620",34.186493,-82.40279,both
8,Point,8,Upstate,Abbeville,Public,Long Cane Primary,Abbeville,'K3-12,322,0.938,abbeville,long cane primary,"815 East Greenwood Street, Abbeville, SC 29620",34.187266,-82.351847,both
9,Point,9,Upstate,Abbeville,Public,Cherokee Trail Elementary,Donalds,'k5-6th,350,0.931,abbeville,cherokee trail elementary,"6219 Highway 184 East, Donalds, SC 29638",34.364107,-82.355559,both
10,Point,10,Upstate,Abbeville,Public,Abbeville High,Abbeville,'9-12,470,0.977,abbeville,abbeville high,"701 Washington Street, Abbeville, SC 29620",34.187425,-82.374457,both
11,Point,11,Upstate,Greenwood,Public,Merrywood Elementary,Greenwood,'K4-5,532,0.959,abbeville,merrywood elementary,"329 Deadfall Rd W, Greenwood, SC 29649",34.245085,-82.187644,left_only
12,Point,12,Upstate,Abbeville,Public,Dixie High,Due West,'7-12,542,0.921,abbeville,dixie high,"1 Haynes Street, Due West, SC 29639",34.327491,-82.388343,both
13,Point,13,Upstate,Anderson,Private,West Anderson Christian Academy,Anderson,'Preschool-k5,<Null>,0.833,anderson,west anderson christian academy,"101 Rogers St Anderson, SC 29625",34.513213,-82.666925,left_only
14,Point,14,Upstate,Anderson,Private,Covenant Christian Academy - Anderson,Anderson,'2K-5K,13,0.923,anderson,covenant christian academy - anderson,"4521 Liberty Hwy, Anderson, SC 29621",34.574689,-82.691578,left_only
15,Point,15,Upstate,Anderson,Private,Central Presbyterian Preschool,Anderson,'2 years through,15,0.8,anderson,central presbyterian preschool,"1404 N BLVD, ANDERSON, SC 29621",34.51816,-82.647611,both
16,Point,16,Upstate,Anderson,Private,Montessori School of Anderson,Anderson,'PK-12,52,0.885,anderson,montessori school of anderson,"280 SAM MCGEE RD, ANDERSON, SC 29621",34.5633,-82.640761,both
17,Point,17,Upstate,Anderson,Public,Anderson Five Charter School,Anderson,'9-12,58,0.983,anderson,anderson five charter school,"1225 South McDuffie Street, Anderson, SC 29624",34.494473,-82.645751,both
18,Point,18,Upstate,Anderson,Private,Anderson Christian School,Anderson,'K3-12,129,0.814,anderson,anderson christian school,"3902 LIBERTY HWY, ANDERSON, SC 29621",34.55679,-82.681611,both
19,Point,19,Upstate,Anderson,Private,Temple Christian Academy,Anderson,'K5-12,136,0.868,anderson,temple christian academy,"2905 STANDRIDGE RD, ANDERSON, SC 29625",34.50899,-82.694841,both
20,Point,20,Upstate,Anderson,Private,St. Joseph Catholic School - Anderson,Anderson,'PreK-8th,139,0.928,anderson,st. joseph catholic school - anderson,"1200 Cornelia Rd, Anderson, SC 29621",34.526586,-82.631389,left_only
21,Point,21,Upstate,Anderson,Private,New Covenant School,Anderson,'K3-12th grade,157,0.879,anderson,new covenant school,"303 SIMPSON RD, ANDERSON, SC 29621",34.53763,-82.625811,both
22,Point,22,Upstate,Pickens,Public,Lakes and Bridges Charter School,Easley,'1st-8th,201,0.905,anderson,lakes and bridges charter school,"1600 E Main St, Easley, SC 29640",34.829069,-82.574861,left_only
23,Point,23,Upstate,Anderson,Public,Wright Elementary,Belton,'5K-5th,223,0.951,anderson,wright elementary,"1136 Wright School Road, Belton, SC 29627",34.398738,-82.528312,both
24,Point,24,Upstate,Anderson,Public,Riverside Middle,Pendleton,'7-8,242,0.921,anderson,riverside middle,"458 Riverside Street, Pendleton, SC 29670",34.65471,-82.796031,both
25,Point,25,Upstate,Anderson,Public,Townville Elementary,Townville,'4K-6th grade,243,0.897,anderson,townville elementary,"105 Townville School Road, Townville, SC 29689",34.563258,-82.903356,both
26,Point,26,Upstate,Anderson,Private,Oakwood Christian School,Anderson,'k-12,264,0.784,anderson,oakwood christian school,"304 PEARMAN DAIRY RD, ANDERSON, SC 29625",34.50673,-82.682571,both
27,Point,27,Upstate,Anderson,Public,West Pelzer Elementary,Pelzer,'K4-5th,302,0.927,anderson,west pelzer elementary,"110 West Stewart Street, West Pelzer, SC 29669",34.645625,-82.480914,both
28,Point,28,Upstate,Anderson,Public,Honea Path Middle,Honea Path,'6th-8th,302,0.987,anderson,honea path middle,"107 Brock Avenue, Honea Path, SC 29654",34.448429,-82.398455,both
29,Point,29,Upstate,Anderson,Public,Calhoun Academy of the Arts,Anderson,'K4-5,338,0.953,anderson,calhoun academy of the arts,"1520 East Calhoun Street, Anderson, SC 29621",34.523719,-82.625132,both
30,Point,30,Upstate,Anderson,Public,South Carolina Preparatory Academy,Anderson,'6-12th,359,0.827,anderson,south carolina preparatory academy,"1650 E Greenville St Suite H, Anderson, SC 29621",34.532277,-82.632351,left_only
31,Point,31,Upstate,Anderson,Public,Homeland Park Primary,Anderson,'K4-2nd grade,369,0.959,anderson,homeland park primary,"3519 Wilmont Street, Anderson, SC 29624",34.462367,-82.656323,both
32,Point,32,Upstate,Anderson,Public,Flat Rock Elementary,Anderson,'K4 - 5th,376,0.979,anderson,flat rock elementary,"115 Thompson Road, Anderson, SC 29624",34.408568,-82.64232,both
33,Point,33,Upstate,Anderson,Public,Marshall Primary,Belton,'K3-2nd,384,0.932,anderson,marshall primary,"218 Bannister Street, Belton, SC 29627",34.523119,-82.502731,both
34,Point,34,Upstate,Anderson,Public,New Prospect Elementary,Anderson,'4k-5th,387,0.964,anderson,new prospect elementary,"126 New Prospect Church Road, Anderson, SC 29625",34.507079,-82.704312,both
35,Point,35,Upstate,Anderson,Public,La France Elementary,La France,'4k - 6th,398,0.94,anderson,la france elementary,"550 Williams Street, Pendleton, SC 29670",34.61345,-82.76485,both
36,Point,36,Upstate,Anderson,Public,Varennes Elementary,Anderson,'3rd-5th,398,0.95,anderson,varennes elementary,"1820 Highway 29 South, Anderson, SC 29626",34.469678,-82.681986,both
37,Point,37,Upstate,Anderson,Public,Southwood Academy for the Arts,Anderson,'6-8,405,0.965,anderson,southwood academy for the arts,"1110 Southwood Street, Anderson, SC 29624",34.490179,-82.662153,both
38,Point,38,Upstate,Anderson,Public,Iva Elementary,Iva,'K4-5th,407,0.943,anderson,iva elementary,"803 Antreville Highway, Iva, SC 29655",34.312168,-82.646005,both
39,Point,39,Upstate,Anderson,Public,Belton Elementary,Belton,'3-5,422,0.972,anderson,belton elementary,"202 Watkins Street, Belton, SC 29627",34.515502,-82.494484,both
40,Point,40,Upstate,Anderson,Public,North Pointe Elementary,Anderson,'K4-5th,439,0.957,anderson,north pointe elementary,"3325 Highway 81 North, Anderson, SC 29621",34.581688,-82.623862,both
41,Point,41,Upstate,Anderson,Public,Mt. Lebanon Elementary,Pendleton,'K4-6th,466,0.946,anderson,mt. lebanon elementary,"2850 Lebanon Road, Pendleton, SC 29670",34.603821,-82.699635,both
42,Point,42,Upstate,Anderson,Public,Whitehall Elementary,Anderson,'5k-5,469,0.949,anderson,whitehall elementary,"702 Whitehall Road, Anderson, SC 29625",34.530447,-82.679298,both
43,Point,43,Upstate,Anderson,Public,Honea Path Elementary,Honea Path,'K5-5th Grade,476,0.958,anderson,honea path elementary,"806 East Greer Street, Honea Path, SC 29654",34.445072,-82.381165,both
44,Point,44,Upstate,Anderson,Public,Belton Middle,Belton,'6-8,476,0.943,anderson,belton middle,"102 Cherokee Road, Belton, SC 29627",34.513918,-82.510247,both
45,Point,45,Upstate,Anderson,Public,Nevitt Forest Elementary,Anderson,'5K-5th grade,478,0.95,anderson,nevitt forest elementary,"1401 Bolt Drive, Anderson, SC 29621",34.493199,-82.602107,both
46,Point,46,Upstate,Anderson,Public,Starr Elementary,Starr,'K4-5th Grade,483,0.957,anderson,starr elementary,"400 Professor Brown Lane, Starr, SC 29684",34.385122,-82.694861,both
47,Point,47,Upstate,Anderson,Public,Hunt Meadows Elementary,Easley,'K3 - 5th Grade,487,0.969,anderson,hunt meadows elementary,"420 Hunt Road, Easley, SC 29642",34.756069,-82.574762,both
48,Point,48,Upstate,Anderson,Public,Centerville Elementary,Anderson,'K4-5,494,0.945,anderson,centerville elementary,"1529 Whitehall Road, Anderson, SC 29625",34.528032,-82.707576,both
49,Point,49,Upstate,Anderson,Public,Belton Preparatory Academy,Belton,'K5-8,499,0.874,anderson,belton preparatory academy,"5901 Belton Highway, Belton, SC 29627",34.496615,-82.534151,both
50,Point,50,Upstate,Anderson,Public,McLees Elementary,Anderson,'K5-5,503,0.958,anderson,mclees elementary,"4900 Dobbins Bridge Road, Anderson, SC 29626",34.478514,-82.749293,both
51,Point,51,Upstate,Anderson,Public,Cedar Grove Elementary,Williamston,'K4-5th,530,0.96,anderson,cedar grove elementary,"107 Melvin Lane, Williamston, SC 29697",34.59276,-82.496504,both
52,Point,52,Upstate,Greenville,Public,Greenville Technical Charter High School,Greenville,'9-12,541,0.937,anderson,greenville technical charter high school,"506 S Pleasantburg Dr Building 119, Greenville, SC 29607",34.827131,-82.375949,left_only
53,Point,53,Upstate,Anderson,Public,Palmetto Elementary,Williamston,'K3- 5th,548,0.965,anderson,palmetto elementary,"1 Roberts Boulevard, Williamston, SC 29697",34.630317,-82.473549,both
54,Point,54,Upstate,Anderson,Public,Pendleton Elementary,Pendleton,'4K-6th,549,0.971,anderson,pendleton elementary,"902 East Queen Street, Pendleton, SC 29670",34.65549,-82.768638,both
55,Point,55,Upstate,Anderson,Public,Concord Elementary,Anderson,'4K-5,597,0.958,anderson,concord elementary,"2701 Calrossie Road, Anderson, SC 29621",34.536298,-82.657372,both
56,Point,56,Upstate,Anderson,Public,Starr-Iva Middle,Starr,'6-8,599,0.314,anderson,starr-iva middle,"1034 Rainey Road, Starr, SC 29684",34.382732,-82.72611,both
57,Point,57,Upstate,Anderson,Public,McCants Middle,Anderson,'6-8,616,0.93,anderson,mccants middle,"2123 Marchbanks Avenue, Anderson, SC 29621",34.529547,-82.630467,both
58,Point,58,Upstate,Anderson,Public,Concrete Primary,Easley,'Pre K- 2,639,0.92,anderson,concrete primary,"535 Powdersville Main, Easley, SC 29642",34.78171,-82.489778,both
59,Point,59,Upstate,Anderson,Public,Glenview Middle,Anderson,'6th-8th,672,0.939,anderson,glenview middle,"2575 Old Williamston Road, Anderson, SC 29621",34.543257,-82.605904,both
60,Point,60,Upstate,Anderson,Public,Wren Elementary,Piedmont,'K4 - 5th,680,0.934,anderson,wren elementary,"226 Roper Road, Piedmont, SC 29673",34.718988,-82.545904,both
61,Point,61,Upstate,Anderson,Public,Midway Elementary,Anderson,'4K-5,686,0.917,anderson,midway elementary,"1221 Harriett Circle, Anderson, SC 29621",34.559684,-82.615606,both
62,Point,62,Upstate,Anderson,Public,Spearman Elementary,Piedmont,'K4-5th,721,0.943,anderson,spearman elementary,"2001 Easley Highway, Piedmont, SC 29673",34.681377,-82.547412,both
63,Point,63,Upstate,Anderson,Public,Palmetto Middle,Williamston,'6-8,729,0.953,anderson,palmetto middle,"803 North Hamilton Street, Williamston, SC 29697",34.631275,-82.479523,both
64,Point,64,Upstate,Anderson,Public,Crescent High,Iva,'9-12,790,0.954,anderson,crescent high,"9104 Highway 81 South, Iva, SC 29655",34.340135,-82.688823,both
65,Point,65,Upstate,Anderson,Public,Powdersville Elementary,Greenville,'3-5,798,0.947,anderson,powdersville elementary,"139 Hood Road, Greenville, SC 29611",34.797842,-82.488307,both
66,Point,66,Upstate,Anderson,Public,Powdersville Middle,Greenville,'6-8,843,0.929,anderson,powdersville middle,"135 Hood Road, Greenville, SC 29611",34.796215,-82.488774,both
67,Point,67,Upstate,Anderson,Public,Wren Middle,Piedmont,'6-8,935,0.947,anderson,wren middle,"1010 Wren School Road, Piedmont, SC 29673",34.72458,-82.544922,both
68,Point,68,Upstate,Anderson,Public,South Carolina Preparatory Leadership School,Anderson,'6-12th,935,0.776,anderson,south carolina preparatory leadership school,"1650 E Greenville St Suite H, Anderson, SC 29621",34.532277,-82.632351,left_only
69,Point,69,Upstate,Anderson,Public,Pendleton High,Anderson,'9-12,944,0.968,anderson,pendleton high,"7324 Highway 187, Anderson, SC 29625",34.612809,-82.783812,both
70,Point,70,Upstate,Anderson,Public,Palmetto High,Williamston,'9-12,990,0.975,anderson,palmetto high,"804 North Hamilton Street, Williamston, SC 29697",34.632052,-82.476987,both
71,Point,71,Upstate,Anderson,Public,Belton Honea Path High,Honea Path,'9-12,1023,0.98,anderson,belton honea path high,"11000 Belton-Honea Path Highway, Honea Path, SC 29654",34.473593,-82.443982,both
72,Point,72,Upstate,Anderson,Public,Powdersville High,Greenville,'9-12,1041,0.939,anderson,powdersville high,"145 Hood Road, Greenville, SC 29611",34.801067,-82.486992,both
73,Point,73,Upstate,Anderson,Public,Robert Anderson Middle,Anderson,'6-8,1115,0.965,anderson,robert anderson middle,"2302 Dobbins Bridge Road, Anderson, SC 29625",34.494784,-82.689022,both
74,Point,74,Upstate,Anderson,Public,Wren High,Piedmont,'9-12,1261,0.952,anderson,wren high,"905 Wren School Road, Piedmont, SC 29673",34.721781,-82.545469,both
75,Point,75,Upstate,Anderson,Public,Westside High,Anderson,'9-12,1692,0.976,anderson,westside high,"806 Pearman Dairy Road, Anderson, SC 29625",34.517665,-82.689659,both
76,Point,76,Upstate,Anderson,Public,T. L. Hanna High,Anderson,'9-12,1950,0.953,anderson,t. l. hanna high,"2600 Highway 81 North, Anderson, SC 29621",34.567223,-82.623533,both
