OBJECTID,County,Type,School.Name,City
1,Abbeville,Private,Lighthouse Christian School,Abbeville
2,Abbeville,Private,Shiloh Christian School,Due West
3,Abbeville,Public,John C. Calhoun Elementary,Calhoun Falls
4,Abbeville,Public,Calhoun Falls Charter,calhoun falls
5,Abbeville,Public,Diamond Hill Elementary,Abbeville
6,Abbeville,Public,Westwood Elementary,Abbeville
7,Abbeville,Public,Wright Middle,Abbeville
8,Abbeville,Public,Long Cane Primary,Abbeville
9,Abbeville,Public,Cherokee Trail Elementary,Donalds
10,Abbeville,Public,Abbeville High,Abbeville
11,Greenwood,Public,Merrywood Elementary,Greenwood
12,Abbeville,Public,Dixie High,Due West
13,Anderson,Private,West Anderson Christian Academy,Anderson
14,Anderson,Private,Covenant Christian Academy - Anderson,Anderson
15,Anderson,Private,Central Presbyterian Preschool,Anderson
16,Anderson,Private,Montessori School of Anderson,Anderson
17,Anderson,Public,Anderson Five Charter School,Anderson
18,Anderson,Private,Anderson Christian School,Anderson
19,Anderson,Private,Temple Christian Academy,Anderson
20,Anderson,Private,St. Joseph Catholic School - Anderson,Anderson
21,Anderson,Private,New Covenant School,Anderson
22,Pickens,Public,Lakes and Bridges Charter School,Easley
23,Anderson,Public,Wright Elementary,Belton
24,Anderson,Public,Riverside Middle,Pendleton
25,Anderson,Public,Townville Elementary,Townville
26,Anderson,Private,Oakwood Christian School,Anderson
27,Anderson,Public,West Pelzer Elementary,Pelzer
28,Anderson,Public,Honea Path Middle,Honea Path
29,Anderson,Public,Calhoun Academy of the Arts,Anderson
30,Anderson,Public,South Carolina Preparatory Academy,Anderson
31,Anderson,Public,Homeland Park Primary,Anderson
32,Anderson,Public,Flat Rock Elementary,Anderson
33,Anderson,Public,Marshall Primary,Belton
34,Anderson,Public,New Prospect Elementary,Anderson
35,Anderson,Public,La France Elementary,La France
36,Anderson,Public,Varennes Elementary,Anderson
37,Anderson,Public,Southwood Academy for the Arts,Anderson
38,Anderson,Public,Iva Elementary,Iva
39,Anderson,Public,Belton Elementary,Belton
40,Anderson,Public,North Pointe Elementary,Anderson
41,Anderson,Public,Mt. Lebanon Elementary,Pendleton
42,Anderson,Public,Whitehall Elementary,Anderson
43,Anderson,Public,Honea Path Elementary,Honea Path
44,Anderson,Public,Belton Middle,Belton
45,Anderson,Public,Nevitt Forest Elementary,Anderson
46,Anderson,Public,Starr Elementary,Starr
47,Anderson,Public,Hunt Meadows Elementary,Easley
48,Anderson,Public,Centerville Elementary,Anderson
49,Anderson,Public,Belton Preparatory Academy,Belton
50,Anderson,Public,McLees Elementary,Anderson
51,Anderson,Public,Cedar Grove Elementary,Williamston
52,Greenville,Public,Greenville Technical Charter High School,Greenville
53,Anderson,Public,Palmetto Elementary,Williamston
54,Anderson,Public,Pendleton Elementary,Pendleton
55,Anderson,Public,Concord Elementary,Anderson
56,Anderson,Public,Starr-Iva Middle,Starr
57,Anderson,Public,McCants Middle,Anderson
58,Anderson,Public,Concrete Primary,Easley
59,Anderson,Public,Glenview Middle,Anderson
60,Anderson,Public,Wren Elementary,Piedmont
61,Anderson,Public,Midway Elementary,Anderson
62,Anderson,Public,Spearman Elementary,Piedmont
63,Anderson,Public,Palmetto Middle,Williamston
64,Anderson,Public,Crescent High,Iva
65,Anderson,Public,Powdersville Elementary,Greenville
66,Anderson,Public,Powdersville Middle,Greenville
67,Anderson,Public,Wren Middle,Piedmont
68,Anderson,Public,South Carolina Preparatory Leadership School,Anderson
69,Anderson,Public,Pendleton High,Anderson
70,Anderson,Public,Palmetto High,Williamston
71,Anderson,Public,Belton Honea Path High,Honea Path
72,Anderson,Public,Powdersville High,Greenville
73,Anderson,Public,Robert Anderson Middle,Anderson
74,Anderson,Public,Wren High,Piedmont
75,Anderson,Public,Westside High,Anderson
76,Anderson,Public,T. L. Hanna High,Anderson
77,Cherokee,Public,Draytonville Elementary,Gaffney
78,Cherokee,Public,Corinth Elementary,Gaffney
79,Cherokee,Public,Blacksburg Primary,Blacksburg
80,Cherokee,Public,Blacksburg Elementary,Blacksburg
81,Cherokee,Public,Goucher Charter Academy,Gaffney
82,Cherokee,Public,Northwest Elementary,Gaffney
83,Cherokee,Public,John E. Ewing Middle,Gaffney
84,Cherokee,Public,Luther Vaughan Elementary,Gaffney
85,Cherokee,Public,Blacksburg Middle,Blacksburg
86,Cherokee,Public,Limestone-Central Elementary,Gaffney
87,Cherokee,Public,Grassy Pond Elementary,Gaffney
88,Cherokee,Public,Blacksburg High,Blacksburg
89,Cherokee,Public,B. D. Lee Elementary,Gaffney
90,Cherokee,Public,Cherokee Charter School,gaffney
91,Cherokee,Public,Gaffney Middle,Gaffney
92,Cherokee,Public,Gaffney High,Gaffney
93,Greenville,Private,Haynsworth School,Greenville
94,Greenville,Private,White Oak Baptist Church Kindergarten,Greenville
95,Greenville,Private,Edward Rd Baptist Church Kindergarten,Greenville
96,Greenville,Private,John Knox Weekday Kindergarten,Greenville
97,Greenville,Private,Westminster Weekday School,Greenville
98,Greenville,Private,Furman University Child Development Center,Greenville
99,Greenville,Private,First Baptist Day School,Greenville
100,Greenville,Public,Aldersgate CDC,Greenville
101,Greenville,Private,BEST Skills Academy,Greenville
102,Greenville,Private,First Presbyterian Academy - Downtown Campus,Greenville
103,Greenville,Private,Taylors First Baptist Church Kindergarten,Taylors
104,Greenville,Private,Montessori School of Mauldin,Mauldin
105,Greenville,Private,Conestee Baptist Day School,Conestee
106,Greenville,Private,Abundant Life Christian School,Greenville
107,Greenville,Public,Meyer Center for Special Children,Greenville
108,Greenville,Private,Chandler School,Greenville
109,Greenville,Private,Hidden Treasure Christian School,Taylors
110,Greenville,Private,Upstate Montessori Academy,Greenville
111,Greenville,Public,West Greenville School,Greenville
112,Greenville,Private,St. Anthony of Padua School,Greenville
